AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
23.914480209350586,2016-01-04,48.5214729309082,2016-01-04,37.97200012207031,2016-01-04,14.894000053405762,2016-01-04
23.31519889831543,2016-01-05,48.74282455444336,2016-01-05,38.076499938964844,2016-01-05,14.895333290100098,2016-01-05
22.85893440246582,2016-01-06,47.85739517211914,2016-01-06,37.96649932861328,2016-01-06,14.602666854858398,2016-01-06
21.894184112548828,2016-01-07,46.192787170410156,2016-01-07,37.04999923706055,2016-01-07,14.376667022705078,2016-01-07
22.00994110107422,2016-01-08,46.3344612121582,2016-01-08,36.545501708984375,2016-01-08,14.066666603088379,2016-01-08
22.3663387298584,2016-01-11,46.30790710449219,2016-01-11,36.653499603271484,2016-01-11,13.856666564941406,2016-01-11
22.690946578979492,2016-01-12,46.73290252685547,2016-01-12,37.266998291015625,2016-01-12,13.998000144958496,2016-01-12
22.107563018798828,2016-01-13,45.72352600097656,2016-01-13,35.97850036621094,2016-01-13,13.354000091552734,2016-01-13
22.591068267822266,2016-01-14,47.02511215209961,2016-01-14,36.56949996948242,2016-01-14,13.745332717895508,2016-01-14
22.048532485961914,2016-01-15,45.14799118041992,2016-01-15,35.52450180053711,2016-01-15,13.666000366210938,2016-01-15
21.941852569580078,2016-01-19,44.76726531982422,2016-01-19,35.95399856567383,2016-01-19,13.64799976348877,2016-01-19
21.971355438232422,2016-01-20,44.970909118652344,2016-01-20,35.928001403808594,2016-01-20,13.24666690826416,2016-01-20
21.86012840270996,2016-01-21,44.69642639160156,2016-01-21,36.333499908447266,2016-01-21,13.33133316040039,2016-01-21
23.022367477416992,2016-01-22,46.29905319213867,2016-01-22,37.27299880981445,2016-01-22,13.50333309173584,2016-01-22
22.572914123535156,2016-01-25,45.85634994506836,2016-01-25,36.680999755859375,2016-01-25,13.092000007629395,2016-01-25
22.697765350341797,2016-01-26,46.192787170410156,2016-01-26,36.68949890136719,2016-01-26,12.904000282287598,2016-01-26
21.206369400024414,2016-01-27,45.35163879394531,2016-01-27,35.87900161743164,2016-01-27,12.538000106811523,2016-01-27
21.358463287353516,2016-01-28,46.09540939331055,2016-01-28,37.415000915527344,2016-01-28,12.646666526794434,2016-01-28
22.096210479736328,2016-01-29,48.77825164794922,2016-01-29,38.067501068115234,2016-01-29,12.74666690826416,2016-01-29
21.88963508605957,2016-02-01,48.4417839050293,2016-02-01,38.53850173950195,2016-02-01,13.129332542419434,2016-02-01
21.446985244750977,2016-02-02,46.92770767211914,2016-02-02,39.045501708984375,2016-02-02,12.185333251953125,2016-02-02
21.871482849121094,2016-02-03,46.1839485168457,2016-02-03,37.46900177001953,2016-02-03,11.565333366394043,2016-02-03
22.047216415405273,2016-02-04,46.04228591918945,2016-02-04,36.50149917602539,2016-02-04,11.688667297363281,2016-02-04
21.458375930786133,2016-02-05,44.4130859375,2016-02-05,35.1879997253418,2016-02-05,10.84000015258789,2016-02-05
21.684329986572266,2016-02-08,43.74901580810547,2016-02-08,35.20800018310547,2016-02-08,9.866000175476074,2016-02-08
21.67976188659668,2016-02-09,43.633914947509766,2016-02-09,35.05099868774414,2016-02-09,9.883333206176758,2016-02-09
21.51543426513672,2016-02-10,44.01463317871094,2016-02-10,35.342498779296875,2016-02-10,9.57800006866455,2016-02-10
21.385345458984375,2016-02-11,43.996925354003906,2016-02-11,35.31800079345703,2016-02-11,10.031332969665527,2016-02-11
21.451536178588867,2016-02-12,44.71412658691406,2016-02-12,35.34450149536133,2016-02-12,10.06933307647705,2016-02-12
22.05634307861328,2016-02-16,45.56132888793945,2016-02-16,35.88199996948242,2016-02-16,10.344667434692383,2016-02-16
22.394132614135742,2016-02-17,46.74740219116211,2016-02-17,36.5984992980957,2016-02-17,11.245332717895508,2016-02-17
21.969621658325195,2016-02-18,46.542293548583984,2016-02-18,35.8754997253418,2016-02-18,11.118000030517578,2016-02-18
21.91940689086914,2016-02-19,46.212318420410156,2016-02-19,36.105499267578125,2016-02-19,11.10533332824707,2016-02-19
22.111122131347656,2016-02-22,46.952518463134766,2016-02-22,36.45249938964844,2016-02-22,11.849332809448242,2016-02-22
21.611291885375977,2016-02-23,45.64158630371094,2016-02-23,35.864498138427734,2016-02-23,11.814000129699707,2016-02-23
21.933103561401367,2016-02-24,45.80211639404297,2016-02-24,36.04499816894531,2016-02-24,11.933333396911621,2016-02-24
22.083730697631836,2016-02-25,46.46202850341797,2016-02-25,36.45600128173828,2016-02-25,12.495332717895508,2016-02-25
22.11797523498535,2016-02-26,45.748600006103516,2016-02-26,36.24300003051758,2016-02-26,12.689332962036133,2016-02-26
22.06776237487793,2016-02-29,45.374053955078125,2016-02-29,35.861000061035156,2016-02-29,12.795332908630371,2016-02-29
22.944169998168945,2016-03-01,46.890098571777344,2016-03-01,37.10850143432617,2016-03-01,12.423333168029785,2016-03-01
22.99437713623047,2016-03-02,47.22005081176758,2016-03-02,36.9739990234375,2016-03-02,12.555999755859375,2016-03-02
23.16556167602539,2016-03-03,46.684974670410156,2016-03-03,36.579498291015625,2016-03-03,13.049332618713379,2016-03-03
23.510189056396484,2016-03-04,46.39961242675781,2016-03-04,36.51100158691406,2016-03-04,13.402667045593262,2016-03-04
23.2500057220459,2016-03-07,45.5078239440918,2016-03-07,35.63999938964844,2016-03-07,13.685999870300293,2016-03-07
23.05828857421875,2016-03-08,46.06072998046875,2016-03-08,35.67649841308594,2016-03-08,13.506667137145996,2016-03-08
